dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,Butte County Rice Farm,US-RGB,-121.8579,39.5782,0.21237304337894786,0,1.278041480926253,16.492679595947266,12.097306983676194,4.543518066406251,55.156612396240234
Ameriflux,Stanislaus County Forage Farm,US-RGF,-121.1369,37.6995,14.211714590637694,1.157386173694335,6.968694521047187,18.27541160583496,9.116158773070078,0.3266187906265258,24.983154596234566
Ameriflux,Glenn County Rice Farm,US-RGG,-122.0253,39.5944,0.13504246467733388,1.0964345563710249e-4,2.426206349020039,17.315303802490234,29.981250853998176,4.543518066406251,23.01452642700209
Ameriflux,Glenn County Organic Rice Farm,US-RGo,-122.0026,39.6805,14.303323572447946,0.02366694219766755,15.455796565430711,17.018573863529642,19.631821147273694,4.543518066406249,15.377455900781788
Ameriflux,Desha County Rice Farm,US-RGW,-91.4306,33.6216,NA,NA,15.905262552128828,18.190231323242188,NA,29.491052627563466,NA
Ameriflux,RCEW Low Sagebrush,US-Rls,-116.7356,43.1439,0.002844569629284544,0.015542007731058662,7.663488187185277,9.76128101348877,NA,0.9180349232251142,25.217771530151367
Ameriflux,RCEW Mountain Big Sagebrush,US-Rms,-116.7486,43.0645,11.70472395828607,5.0067252891958045,31.16929391983146,9.944853021055918,NA,10.924529075622553,106.44644927978516
Ameriflux,Rosemount- G21,US-Ro1,-93.0898,44.7143,NA,NA,13.913241546709395,9.98960018157959,NA,24.374359130859364,NA
Ameriflux,Rosemount- C7,US-Ro2,-93.0888,44.7288,NA,NA,14.309271906747416,9.98960018157959,NA,24.374359130859364,NA
Ameriflux,Rosemount- G19,US-Ro3,-93.0893,44.7217,NA,NA,15.063329977147543,9.98960018157959,NA,24.374359130859368,NA
Ameriflux,Rosemount Prairie,US-Ro4,-93.0723,44.6781,NA,NA,26.95265997247376,9.98960018157959,NA,4.877754688262934,NA
Ameriflux,Rosemount I18_South,US-Ro5,-93.0576,44.691,NA,NA,21.208815059880756,9.98960018157959,NA,6.851061687405994,NA
Ameriflux,Rosemount I18_North,US-Ro6,-93.0578,44.6946,NA,NA,21.872636891958916,9.98960018157959,NA,10.9662195006197,NA
Ameriflux,Rice Rivers Center Marsh,US-RRC,-77.2065,37.3344,NA,NA,180.41107177734375,103.45885467529297,NA,79.88343048095702,NA
Ameriflux,RCEW Reynolds Mountain East,US-Rwe,-116.7591,43.0653,4.9100825292481876,2.8776402667796717,17.78959520155484,10.156230345236844,NA,10.924529075622553,106.44644927978516
Ameriflux,RCEW Upper Sheep Prescibed Fire,US-Rwf,-116.7231,43.1207,1.2389382087999226,0.9638799873805142,8.841683013346207,9.76128101348877,NA,10.92452907562256,25.217771530151367
Ameriflux,Reynolds Creek Wyoming big sagebrush,US-Rws,-116.7132,43.1675,0,0,5.62644178084596,9.76128101348877,NA,0,25.217771530151367
Ameriflux,Sweet Briar Land-Atmosphere Research Station,US-SB1,-79.0848,37.5734,NA,NA,184.7891622697772,97.31926727294922,NA,93.26342773437499,NA
Ameriflux,Sweet Briar Grass,US-SB2,-79.0883,37.5607,NA,NA,151.1612808587454,97.3192672729492,NA,93.263427734375,NA
Ameriflux,Sweet Briar Clearcut,US-SB3,-79.0872,37.5752,NA,NA,187.01631909843638,97.31926727294923,NA,93.26342773437503,NA
Ameriflux,Southern California Climate Gradient - Desert Chaparral,US-SCc,-116.4505,33.6094,0,0.2179821517662752,3.9532922201063445,14.466233253479004,5.716770843397064,0.0732216238975525,39.40207290649414
Ameriflux,Southern California Climate Gradient - Sonoran Desert,US-SCd,-116.3721,33.6518,0,0,2.35681155006408,14.466233253479004,0,0.07322162389755245,38.36075973510742
Ameriflux,Southern California Climate Gradient - Oak/Pine Forest,US-SCf,-116.7717,33.8079,67.51404523765204,113.09761610237777,67.63631269991878,15.44604778289795,150.044764685301,17.97326660156251,105.78880335310045
Ameriflux,Southern California Climate Gradient - Grassland,US-SCg,-117.6946,33.7365,0.0025427656160102213,0.002098488754876706,38.19409778250413,10.88970947265625,28.33551175762181,0.61089563369751,145.35604086169855
Ameriflux,Southern California Climate Gradient - Coastal Sage,US-SCs,-117.6959,33.7343,0.003629058186449603,0,48.14444717220598,10.88970947265625,25.89543626450555,0.6108956336975094,141.7797662829206
Ameriflux,Southern California Climate Gradient - Pinyon/Juniper Woodland,US-SCw,-116.4527,33.6047,0.008455510017088873,0.9012266984717837,3.6102261742618067,14.466233253479004,6.544886327649952,0.07322162389755249,43.20761864542662
Ameriflux,Nebraska SandHills Dry Valley,US-SdH,-101.4072,42.0693,NA,0,2.591443520047683,10.032882690429688,NA,0,0
Ameriflux,South Denver Urban Tower,US-SDU,-105.0127,39.6594,0.5949419666857007,2.966161676474195,2.0475537414315483,10.237208366394043,NA,3.1922059059143044,2.3310251298647167e-12
Ameriflux,Sevilleta grassland,US-Seg,-106.702,34.3623,0,0,1.3571695693613504,9.230973243713379,NA,2.082555294036865,1.417412656442819
Ameriflux,Sevilleta shrubland,US-Ses,-106.7442,34.3349,0,0,2.824482108037127,9.141939958234307,NA,2.0825552940368657,1.0428476333618164
Ameriflux,Sioux Falls Portable,US-SFP,-96.902,43.2408,NA,NA,2.115205148845737,10.742193222045898,NA,0,NA
Ameriflux,Sagehen Creek Field Station,US-SHC,-120.2398,39.4315,89.33194833265874,157.01998341568947,98.98410677637193,101.94514305258544,192.2195767674868,93.27153778076173,205.4795379638672
Ameriflux,Shidler- Oklahoma,US-Shd,-96.6833,36.9333,NA,NA,2.282910297172231,10.15842056274414,NA,18.065135955810533,NA
Ameriflux,Secaucus High School Site,US-SHS,-74.0457,40.8052,NA,NA,4.361099669261407,8.624485969543457,NA,11.195555686950678,NA
Ameriflux,Staten Island Fallow,US-Si1,-121.5047,38.1747,0.023367265292007087,0,1.6057565759284558,12.476768998168316,0.770459979675404,0,9.45154601979218
Ameriflux,Staten Island Flooded,US-Si2,-121.5167,38.1758,0.018121420598952054,0.0046208987345072484,1.7785189159011578,12.504311561584473,1.2952093176255153,0,3.368778705596924
Ameriflux,San Joaquin (Freshwater Marsh Tower 1),US-SJ1,-117.8514,33.6623,9.843530032760475,0.2667338396366115,8.665725798555744,14.330520629882812,29.61958808415007,0,3.0459495602846998e-12
