product,agb_Mg_ha,year,IGBP_Class,Longitude,Latitude,IGBP_Name,ffp_radius
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.0422662,34.23167236,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.1591727,34.3126068,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-107.8372302,34.61835914,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.3264388,36.91150169,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-107.4055755,32.09140597,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-103.682554,36.6866838,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.7508993,36.237048,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.5008993,33.14355373,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-110.1933453,33.76405113,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-104.6357914,34.60037371,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.3426259,40.03197411,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-111.9289568,35.40971814,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-112.477518,35.41871086,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.3839928,31.39896685,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-106.7041367,34.3665631,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.6070144,35.85036122,Evergreen Needleleaf Forest,1
chopping,0.272727281,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.0926259,37.66688983,Evergreen Needleleaf Forest,1
